-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 01/01/2000 through 01/01/2024 in LST,,,,,,,,
Location: latitude  39.3405   longitude -95.7227 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 339.46 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,WS10M,CLRSKY_SFC_SW_DWN
2000,1,1,1.08,4.28,92.55,0.03,5.16,2.62
2000,1,2,2.24,2.73,81.41,0.11,5.37,2.79
2000,1,3,0.61,-1.21,84.81,0.87,6.91,2.69
2000,1,4,2.28,-5.66,57.85,0,6.14,2.77
2000,1,5,2.84,-0.92,69.12,0.18,6.97,2.86
2000,1,6,2.85,-0.03,69.59,0,4.33,2.88
2000,1,7,2.95,0.57,70.08,0,4.51,2.96
2000,1,8,1.82,1.45,95.57,0.1,4.81,2.93
2000,1,9,1.08,2.94,94.56,0.14,3.29,2.88
2000,1,10,2.57,1.69,62.03,0,7.44,2.94
2000,1,11,2.65,-0.74,54.17,0.01,3.49,2.8
2000,1,12,2.06,-0.12,77.46,0,4.71,2.87
2000,1,13,2.91,-2.51,65.95,0,3.71,2.93
2000,1,14,2.08,1.42,62.84,0,7.4,2.99
2000,1,15,2.71,3.06,75.22,0,6.01,2.83
2000,1,16,1.87,-0.93,63.55,0,6.21,3.01
2000,1,17,0.97,1.6,81.49,0,2.69,3.04
2000,1,18,2.68,1.66,80.04,0,1.85,2.97
2000,1,19,2.26,1.05,73.51,0.01,9.08,2.99
2000,1,20,3.03,-4.88,58.35,0,4.06,3.1
2000,1,21,2.88,-0.08,64.47,0.05,4.27,3.22
2000,1,22,3.09,1.77,74.87,0.25,3.12,3.23
2000,1,23,0.98,-4.03,71.21,0.88,4.56,3.25
2000,1,24,1.82,-1.7,71.32,0.02,4.68,3.3
2000,1,25,2.44,-5,67.41,0,5.87,3.32
2000,1,26,3.16,-7.29,64.26,0,2.63,3.35
2000,1,27,1.52,-4.63,61.61,0.85,4.16,3.36
2000,1,28,1.63,-4.91,80.59,1.96,3.7,3.4
2000,1,29,1.68,-5.56,78.16,0.22,3.41,3.37
2000,1,30,1.85,-5.53,80.13,0.1,4.23,3.46
2000,1,31,1.86,-4.4,84.65,0.01,4.36,3.57
2000,2,1,1.66,-4.18,77.77,0.01,3.16,3.58
2000,2,2,3.38,-1.34,81.25,0,6.42,3.46
2000,2,3,3.84,2.57,65.47,0,7.51,3.76
2000,2,4,2.19,-2.57,65.38,0,6.66,3.75
2000,2,5,3.66,-0.87,68.14,0,3.47,3.89
2000,2,6,3.71,1.8,71.79,0,4.74,3.63
2000,2,7,3.86,1.49,67.33,0,3.97,3.75
2000,2,8,3.9,2.63,70.03,0.01,4.92,3.81
2000,2,9,2.8,4.49,84.96,0,3.18,3.7
2000,2,10,3.36,3.17,80.58,0.01,6.4,3.81
2000,2,11,0.84,-3.78,69.39,1.71,6.13,3.98
2000,2,12,0.74,-1.27,82.72,0.11,3.51,4.05
2000,2,13,1.14,-0.09,79.94,0.17,5.99,4.09
2000,2,14,3.81,-0.98,73.05,0,3.72,4.14
2000,2,15,4.25,4.87,68.85,0.05,7.48,4.23
2000,2,16,3.8,-0.76,65.65,0.34,4.39,4.31
2000,2,17,0.86,0.76,83.53,8.56,5.81,4.31
2000,2,18,1.13,-1.64,86.31,3.49,7.26,4.36
2000,2,19,3.26,-1.47,76.39,0.06,4.36,4.42
2000,2,20,4.64,3.07,62.46,0,3.67,4.61
2000,2,21,4.09,9.62,79.39,0,7.1,4.41
2000,2,22,1.94,14.43,87.82,4.7,7.16,4.49
2000,2,23,1.58,12.9,83.07,14.97,7.17,4.5
2000,2,24,4.32,13.53,76.49,3.26,6.24,4.62
2000,2,25,3.48,14.46,70.61,11.36,10.76,4.71
2000,2,26,1.96,5.58,67.61,0,6.28,4.63
2000,2,27,4.87,6,55.72,0,4.08,4.66
2000,2,28,4.47,10.97,56.51,0.01,9.12,4.71
2000,2,29,2.63,11.21,70.54,1.78,8.02,4.52
2000,3,1,4.67,6.7,56.28,0,4.39,4.77
2000,3,2,1.42,3.71,67.5,9.35,4.35,4.81
2000,3,3,2.85,3.12,73.26,1.26,3.56,4.95
2000,3,4,4.73,6.71,77.52,0,3.85,4.87
2000,3,5,5.01,9.74,69.46,0,5.68,4.87
2000,3,6,4.92,14.39,76.09,0.04,6.88,4.76
2000,3,7,3.66,17.96,79.65,0.91,7.51,4.85
2000,3,8,3.53,13.51,55.87,0.14,11.83,5.18
2000,3,9,4.83,1.65,55.93,0,6.76,5.24
2000,3,10,4.22,0.68,62.35,0.01,4.35,5.25
2000,3,11,5.35,2.02,49.45,0,4.28,5.3
2000,3,12,2.94,3.41,66.28,0.14,4.98,5.29
2000,3,13,5.39,4.32,67.52,0,3.03,5.44
2000,3,14,2.95,7.47,83.04,5.19,2.5,5.27
2000,3,15,1.22,8.29,83.49,4.09,7.28,5.47
2000,3,16,4.27,0.3,51.23,1.36,6.58,5.51
2000,3,17,3.49,2.55,57.39,0.6,5.43,5.31
2000,3,18,0.99,5.01,87.74,5.23,4.41,5.6
2000,3,19,1.7,2.16,84.24,3.79,5.42,5.67
2000,3,20,2.31,3.66,81.03,0.05,2.69,5.71
2000,3,21,3.78,8.04,82.05,0.44,4.25,5.82
2000,3,22,2.96,11.06,76.78,1.86,3.44,5.74
2000,3,23,1.79,13.28,81.09,17.82,6.13,5.92
2000,3,24,5.34,13.39,73.56,0.82,5.17,5.94
2000,3,25,5.75,11.29,57.64,0.22,2.58,6.02
2000,3,26,4.52,12.8,58.51,0.62,6.11,6.13
2000,3,27,6.47,10.63,48.6,0,7.16,6.35
2000,3,28,6.27,4.81,55.18,0,5.01,6.06
2000,3,29,3.8,7.31,64.11,0.37,3.23,6.09
2000,3,30,5.68,10.33,59.29,0.29,3.2,6.25
2000,3,31,4.11,10.1,60.68,2.28,3.16,6.24
2000,4,1,1.59,7.74,80.12,2.57,2.89,6.41
2000,4,2,6.1,9.98,66.66,0.19,4.3,6.4
2000,4,3,5.67,6.72,55.17,0.09,8.02,6.66
2000,4,4,6.52,5.95,51.67,0,4.17,6.54
2000,4,5,6.52,15.41,55.51,0,7.04,6.41
2000,4,6,5.13,11.73,49.28,0.1,3.64,6.65
2000,4,7,4.68,7.68,58.63,0.11,8.91,6.62
2000,4,8,6.79,5.3,48.68,0,4.89,6.64
2000,4,9,6.79,11.27,53.73,0,5.45,6.68
2000,4,10,3.56,11.57,73.93,0.04,5.23,6.79
2000,4,11,3.91,7.53,64.04,0,5.55,6.91
2000,4,12,6.87,7.76,52.21,0,5.13,6.8
2000,4,13,6.78,12.8,66.5,0.01,6.44,6.78
2000,4,14,6.72,16.27,71.09,0.17,7.7,6.8
2000,4,15,2.19,15.1,80.24,0.85,3.1,7.04
2000,4,16,1.6,7.18,76.44,7.08,6.86,7.08
2000,4,17,5.3,7.79,67.45,0.01,3.19,7.14
2000,4,18,6.76,17.18,71.36,0.37,6.65,7.01
2000,4,19,7.15,20.64,59,1.9,6.02,7.04
2000,4,20,1.91,9.24,62.1,3.8,9.81,7.2
2000,4,21,7.59,11.68,45.7,0,4.01,7.56
