-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,
Dates (month/day/year): 01/01/2000 through 01/01/2024 in LST,,,,,,,
Location: latitude  39.3392   longitude -95.7218 ,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 339.46 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
parameter(s): ,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PRECTOTCORR,RH2M,T2M,WS10M
2000,1,1,1.08,0.03,92.55,4.28,5.16
2000,1,2,2.24,0.11,81.41,2.73,5.37
2000,1,3,0.61,0.87,84.81,-1.21,6.91
2000,1,4,2.28,0,57.85,-5.66,6.14
2000,1,5,2.84,0.18,69.12,-0.92,6.97
2000,1,6,2.85,0,69.59,-0.03,4.33
2000,1,7,2.95,0,70.08,0.57,4.51
2000,1,8,1.82,0.1,95.57,1.45,4.81
2000,1,9,1.08,0.14,94.56,2.94,3.29
2000,1,10,2.57,0,62.03,1.69,7.44
2000,1,11,2.65,0.01,54.17,-0.74,3.49
2000,1,12,2.06,0,77.46,-0.12,4.71
2000,1,13,2.91,0,65.95,-2.51,3.71
2000,1,14,2.08,0,62.84,1.42,7.4
2000,1,15,2.71,0,75.22,3.06,6.01
2000,1,16,1.87,0,63.55,-0.93,6.21
2000,1,17,0.97,0,81.49,1.6,2.69
2000,1,18,2.68,0,80.04,1.66,1.85
2000,1,19,2.26,0.01,73.51,1.05,9.08
2000,1,20,3.03,0,58.35,-4.88,4.06
2000,1,21,2.88,0.05,64.47,-0.08,4.27
2000,1,22,3.09,0.25,74.87,1.77,3.12
2000,1,23,0.98,0.88,71.21,-4.03,4.56
2000,1,24,1.82,0.02,71.32,-1.7,4.68
2000,1,25,2.44,0,67.41,-5,5.87
2000,1,26,3.16,0,64.26,-7.29,2.63
2000,1,27,1.52,0.85,61.61,-4.63,4.16
2000,1,28,1.63,1.96,80.59,-4.91,3.7
2000,1,29,1.68,0.22,78.16,-5.56,3.41
2000,1,30,1.85,0.1,80.13,-5.53,4.23
2000,1,31,1.86,0.01,84.65,-4.4,4.36
2000,2,1,1.66,0.01,77.77,-4.18,3.16
2000,2,2,3.38,0,81.25,-1.34,6.42
2000,2,3,3.84,0,65.47,2.57,7.51
2000,2,4,2.19,0,65.38,-2.57,6.66
2000,2,5,3.66,0,68.14,-0.87,3.47
2000,2,6,3.71,0,71.79,1.8,4.74
2000,2,7,3.86,0,67.33,1.49,3.97
2000,2,8,3.9,0.01,70.03,2.63,4.92
2000,2,9,2.8,0,84.96,4.49,3.18
2000,2,10,3.36,0.01,80.58,3.17,6.4
2000,2,11,0.84,1.71,69.39,-3.78,6.13
2000,2,12,0.74,0.11,82.72,-1.27,3.51
2000,2,13,1.14,0.17,79.94,-0.09,5.99
2000,2,14,3.81,0,73.05,-0.98,3.72
2000,2,15,4.25,0.05,68.85,4.87,7.48
2000,2,16,3.8,0.34,65.65,-0.76,4.39
2000,2,17,0.86,8.56,83.53,0.76,5.81
2000,2,18,1.13,3.49,86.31,-1.64,7.26
2000,2,19,3.26,0.06,76.39,-1.47,4.36
2000,2,20,4.64,0,62.46,3.07,3.67
2000,2,21,4.09,0,79.39,9.62,7.1
2000,2,22,1.94,4.7,87.82,14.43,7.16
2000,2,23,1.58,14.97,83.07,12.9,7.17
2000,2,24,4.32,3.26,76.49,13.53,6.24
2000,2,25,3.48,11.36,70.61,14.46,10.76
2000,2,26,1.96,0,67.61,5.58,6.28
2000,2,27,4.87,0,55.72,6,4.08
2000,2,28,4.47,0.01,56.51,10.97,9.12
2000,2,29,2.63,1.78,70.54,11.21,8.02
2000,3,1,4.67,0,56.28,6.7,4.39
2000,3,2,1.42,9.35,67.5,3.71,4.35
2000,3,3,2.85,1.26,73.26,3.12,3.56
2000,3,4,4.73,0,77.52,6.71,3.85
2000,3,5,5.01,0,69.46,9.74,5.68
2000,3,6,4.92,0.04,76.09,14.39,6.88
2000,3,7,3.66,0.91,79.65,17.96,7.51
2000,3,8,3.53,0.14,55.87,13.51,11.83
2000,3,9,4.83,0,55.93,1.65,6.76
2000,3,10,4.22,0.01,62.35,0.68,4.35
2000,3,11,5.35,0,49.45,2.02,4.28
2000,3,12,2.94,0.14,66.28,3.41,4.98
2000,3,13,5.39,0,67.52,4.32,3.03
2000,3,14,2.95,5.19,83.04,7.47,2.5
2000,3,15,1.22,4.09,83.49,8.29,7.28
2000,3,16,4.27,1.36,51.23,0.3,6.58
2000,3,17,3.49,0.6,57.39,2.55,5.43
2000,3,18,0.99,5.23,87.74,5.01,4.41
2000,3,19,1.7,3.79,84.24,2.16,5.42
2000,3,20,2.31,0.05,81.03,3.66,2.69
2000,3,21,3.78,0.44,82.05,8.04,4.25
2000,3,22,2.96,1.86,76.78,11.06,3.44
2000,3,23,1.79,17.82,81.09,13.28,6.13
2000,3,24,5.34,0.82,73.56,13.39,5.17
2000,3,25,5.75,0.22,57.64,11.29,2.58
2000,3,26,4.52,0.62,58.51,12.8,6.11
2000,3,27,6.47,0,48.6,10.63,7.16
2000,3,28,6.27,0,55.18,4.81,5.01
2000,3,29,3.8,0.37,64.11,7.31,3.23
2000,3,30,5.68,0.29,59.29,10.33,3.2
2000,3,31,4.11,2.28,60.68,10.1,3.16
2000,4,1,1.59,2.57,80.12,7.74,2.89
2000,4,2,6.1,0.19,66.66,9.98,4.3
2000,4,3,5.67,0.09,55.17,6.72,8.02
2000,4,4,6.52,0,51.67,5.95,4.17
2000,4,5,6.52,0,55.51,15.41,7.04
2000,4,6,5.13,0.1,49.28,11.73,3.64
2000,4,7,4.68,0.11,58.63,7.68,8.91
2000,4,8,6.79,0,48.68,5.3,4.89
2000,4,9,6.79,0,53.73,11.27,5.45
2000,4,10,3.56,0.04,73.93,11.57,5.23
2000,4,11,3.91,0,64.04,7.53,5.55
2000,4,12,6.87,0,52.21,7.76,5.13
2000,4,13,6.78,0.01,66.5,12.8,6.44
2000,4,14,6.72,0.17,71.09,16.27,7.7
2000,4,15,2.19,0.85,80.24,15.1,3.1
2000,4,16,1.6,7.08,76.44,7.18,6.86
2000,4,17,5.3,0.01,67.45,7.79,3.19
2000,4,18,6.76,0.37,71.36,17.18,6.65
2000,4,19,7.15,1.9,59,20.64,6.02
2000,4,20,1.91,3.8,62.1,9.24,9.81
2000,4,21,7.59,0,45.7,11.68,4.01
2000,4,22,5.92,0.29,50.95,16.58,5.65
2000,4,23,3.5,5.18,77.33,14.05,5.1
2000,4,24,6.59,0.14,71.18,13.48,3.93
2000,4,25,3.53,1.82,69.17,13.67,2.45
2000,4,26,5.78,2.81,61.51,15.11,3.42
2000,4,27,4.94,0.34,62.32,14.48,7.99
2000,4,28,6.81,0.01,64.48,15.37,3.66
2000,4,29,7.71,0,54.51,16.03,3.71
2000,4,30,4.14,6.29,72.16,17.4,5.65
2000,5,1,1.79,4.36,82.43,16.75,3.67
2000,5,2,5.48,0.23,72.24,18.15,3.27
2000,5,3,4.79,0.01,72.65,18.87,2.4
2000,5,4,6.93,0,64.5,20.36,3.97
2000,5,5,6.09,0,68.62,20.56,4.56
2000,5,6,3.71,0.03,79,20.99,4.29
2000,5,7,3.5,0.23,77.59,23.91,5.26
2000,5,8,2.8,1.16,74.82,20.22,5.29
2000,5,9,6.26,4.28,54.28,16.11,5.28
2000,5,10,6.32,0,54.91,18.11,6.8
2000,5,11,7.35,7.94,64.19,25.67,8.54
2000,5,12,5.22,7.36,53.07,18.44,7.43
